date,min,max,pm25,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,2.25,43.68,15.03,12.98,25.38,10.11,302
2019-12-10T00:00:00.000Z,0.65,20.55,3.65,1.92,9.34,4.874,412
2019-12-11T00:00:00.000Z,2.11,48.28,3.32,2.66,3.98,5.246,257
2019-12-12T00:00:00.000Z,3.79,56.78,19.44,12.46,37.08,14.286,292
2019-12-13T00:00:00.000Z,2.9,29.22,5.28,4.44,10.88,5.036,559
2019-12-14T00:00:00.000Z,1.8,50.29,3.48,2.75,4.63,14.465,404
2019-12-15T00:00:00.000Z,4.5,45.64,9.94,6.24,19.01,9.81,535
2019-12-16T00:00:00.000Z,5,22.46,11.72,9.98,13.8,3.736,290
2019-12-17T00:00:00.000Z,3.01,23.25,11.25,5.45,14.99,5.05,285
2019-12-18T00:00:00.000Z,5.46,18.89,9.61,7.81,11.45,2.865,442
2019-12-19T00:00:00.000Z,2.04,29.53,6.6,4.71,9.71,5.383,434
2019-12-20T00:00:00.000Z,3.58,12.91,7.88,7.04,8.82,1.886,553
2019-12-21T00:00:00.000Z,1.34,15.05,5.66,4.08,7.16,2.261,570
2019-12-22T00:00:00.000Z,2.72,36,8.09,5.96,10.25,4.818,576
2019-12-23T00:00:00.000Z,1.78,94.92,4.79,3.67,7.7,8.755,490
2019-12-24T00:00:00.000Z,2.74,67.06,26,14.54,32,12.995,256
2019-12-25T00:00:00.000Z,4.72,62.82,17.51,8.82,23.72,10.075,474
2019-12-26T00:00:00.000Z,4.12,63.11,33.02,5.95,43.23,19.328,321
2019-12-27T00:00:00.000Z,3.01,59.3,9.93,8.16,13.51,8.135,291
2019-12-28T00:00:00.000Z,0.75,43.2,2.99,1.2,17.34,10.698,291
2019-12-29T00:00:00.000Z,1.62,45.96,2.96,2.48,12.75,9.312,279
2019-12-30T00:00:00.000Z,2.8,37.26,5.43,4.19,10.36,8.125,542
2019-12-31T00:00:00.000Z,4.86,380.59,20.25,8.32,61.36,61.146,351
2020-01-01T00:00:00.000Z,5.34,164.49,39.15,15.71,59.55,28.949,555
2020-01-02T00:00:00.000Z,8.03,139.04,24.47,17.28,49.4,26.038,522
2020-01-03T00:00:00.000Z,9.05,107.54,34.57,21.18,54.75,21.513,524
2020-01-04T00:00:00.000Z,8.41,60.36,27.67,21.01,44.02,13.979,551
2020-01-05T00:00:00.000Z,1.62,56.17,14.88,4.53,35.44,16.248,554
2020-01-06T00:00:00.000Z,2.13,63.24,4.25,3,6.79,7.781,445
2020-01-07T00:00:00.000Z,5.78,104.16,11.08,8.98,41.62,24.624,415
2020-01-08T00:00:00.000Z,4.2,103.22,20.6,17.52,36.04,19.858,441
2020-01-09T00:00:00.000Z,7.36,100.97,20.16,16.77,38.31,21.599,494
2020-01-10T00:00:00.000Z,5.95,78.09,26.12,16.94,47.1,17.865,407
2020-01-11T00:00:00.000Z,13.74,91.24,29.51,19.25,49.65,18.508,524
2020-01-12T00:00:00.000Z,6.7,97.9,28.97,22.33,40.08,20.071,551
2020-01-13T00:00:00.000Z,6.96,88.24,20.02,13.46,28.53,20.292,482
2020-01-14T00:00:00.000Z,4.91,82.1,20.02,15.99,40.29,16.992,440
2020-01-15T00:00:00.000Z,5.9,87.43,22.28,17.55,27,18.805,391
2020-01-16T00:00:00.000Z,9.48,107.82,22.13,19.39,50.53,22.355,194
