date,min,max,pm25,q1,q3,stdev,count
2020-02-01T00:00:00.000Z,15.54,43.4,31.56,27.94,34.03,6.253,92
2020-02-02T00:00:00.000Z,2.6,46.45,18.75,9.59,25.45,10.445,320
2020-02-03T00:00:00.000Z,3.01,30.18,9.65,7.93,12.94,6.523,310
2020-02-04T00:00:00.000Z,0.79,31.33,8.93,2.52,22.12,10.05,250
2020-02-05T00:00:00.000Z,0.53,2.62,1.25,1,1.55,0.38,231
2020-02-06T00:00:00.000Z,0.93,12.48,1.72,1.52,2.4,1.245,232
2020-02-07T00:00:00.000Z,2.04,32.47,4.83,3.83,6.9,7.573,208
2020-02-08T00:00:00.000Z,6.82,44.72,15.58,9.47,23.74,11.569,188
2020-02-09T00:00:00.000Z,2.83,38.22,10.78,5.65,25.54,11,355
2020-02-10T00:00:00.000Z,6.74,23,12.02,10.56,13.98,3.35,363
2020-02-11T00:00:00.000Z,8.09,30.6,11.3,10,15.86,6.142,367
2020-02-12T00:00:00.000Z,3.42,37.97,15.85,6,21.54,8.167,375
2020-02-13T00:00:00.000Z,2,24.96,10.36,5.07,13.91,5.241,377
2020-02-14T00:00:00.000Z,1.65,10.27,3.55,3.01,4.9,2.117,382
2020-02-15T00:00:00.000Z,1.56,27.21,4.5,3.18,5.74,3.903,321
2020-02-16T00:00:00.000Z,4.94,41.98,13.76,9.65,22.42,9.518,373
2020-02-17T00:00:00.000Z,2.54,50.56,23.08,6.91,30.12,13.168,343
2020-02-18T00:00:00.000Z,2.56,41.72,11.64,7.8,20.37,11.135,310
2020-02-19T00:00:00.000Z,2.13,40.97,15.56,6.99,23.6,10.612,447
2020-02-20T00:00:00.000Z,1.45,18.62,10.74,2.9,15.11,5.788,500
2020-02-21T00:00:00.000Z,2.54,32.82,8.81,4.84,15.91,7.224,419
2020-02-22T00:00:00.000Z,4.11,32.22,13.78,8.48,19.48,7.128,426
2020-02-23T00:00:00.000Z,4.38,37.11,12.43,7.24,25.08,10.053,442
2020-02-24T00:00:00.000Z,5.16,16.94,8.8,7.88,10.54,2.644,516
2020-02-25T00:00:00.000Z,3.02,27.84,7.61,5.78,8.71,2.838,454
2020-02-26T00:00:00.000Z,1.25,13.14,4.47,3.02,5.87,1.934,396
2020-02-27T00:00:00.000Z,0.9,18.02,3.1,2.09,4.84,2.17,548
2020-02-28T00:00:00.000Z,1.05,11.57,4.34,1.7,6.95,2.764,556
2020-02-29T00:00:00.000Z,2.1,20.16,5.09,3.02,6.21,2.133,565
2020-03-01T00:00:00.000Z,2.88,14.86,6.75,4.55,8.02,2.097,575
2020-03-02T00:00:00.000Z,2.24,9.8,5.57,4.45,6.55,1.347,471
2020-03-03T00:00:00.000Z,3.72,12.02,5.58,5.16,7,1.886,422
2020-03-04T00:00:00.000Z,1.38,27.51,4.4,3.01,5.26,2.155,581
2020-03-05T00:00:00.000Z,0.89,12.42,5.45,2.75,6.54,2.208,587
2020-03-06T00:00:00.000Z,0.82,10.42,5.42,4.63,6.25,1.731,586
2020-03-07T00:00:00.000Z,1.51,8.9,3.79,2.64,5.28,1.698,591
2020-03-08T00:00:00.000Z,1.7,7.85,3.03,2.61,3.95,0.911,590
2020-03-09T00:00:00.000Z,1.95,17.11,5.76,3.24,7.54,3.258,588
2020-03-10T00:00:00.000Z,3.09,28.09,6.94,5.35,14.25,5.097,582
2020-03-11T00:00:00.000Z,1.65,29.08,9.96,4.34,20.02,8.019,581
2020-03-12T00:00:00.000Z,2.35,40.65,6.12,3.18,11.97,9.654,485
2020-03-13T00:00:00.000Z,4.55,46.08,16.37,8.78,19.23,8.36,502
2020-03-14T00:00:00.000Z,6.45,24.25,10.19,8.53,12.8,3.717,537
2020-03-15T00:00:00.000Z,3.92,26.82,8.89,5.76,13.62,4.418,290
2020-03-16T00:00:00.000Z,2.8,30.98,5.92,4.94,8.36,7.404,577
2020-03-17T00:00:00.000Z,4.34,41.65,13.87,8.86,17.62,7.119,578
2020-03-18T00:00:00.000Z,6.8,48.6,16.69,11.04,26.55,10.05,495
2020-03-19T00:00:00.000Z,4.55,37.94,17.36,9.09,25.39,9.761,552
2020-03-20T00:00:00.000Z,3.94,45.53,13.76,6.4,26.5,11.278,469
2020-03-21T00:00:00.000Z,6.18,58.81,23.8,9.18,30.42,13.477,489
2020-03-22T00:00:00.000Z,6.57,63.75,12.98,9.35,33.94,15.386,454
2020-03-23T00:00:00.000Z,2.5,9.15,3.29,3.07,3.67,0.982,440
