date,min,max,pm25,q1,q3,stdev,count
2020-12-31T00:00:00.000Z,3.97,250.73,17.77,8.02,32.35,33.699,139
2021-01-01T00:00:00.000Z,2.52,122,6.07,3.9,27.85,30.439,295
2021-01-02T00:00:00.000Z,1.3,22.1,3.4,2.31,5.17,2.329,269
2021-01-03T00:00:00.000Z,1.4,23.13,2.85,2.27,3.47,1.748,246
2021-01-04T00:00:00.000Z,0.95,16.55,2.72,1.84,5.56,2.545,241
2021-01-05T00:00:00.000Z,1.2,37.29,4.11,2.45,6.88,4.563,262
2021-01-06T00:00:00.000Z,1.2,70.84,3.42,1.98,19.88,10.556,243
2021-01-07T00:00:00.000Z,2.38,26.45,9.07,6.49,13.98,4.967,264
2021-01-08T00:00:00.000Z,5.63,32.67,10.9,9.22,13.14,3.262,284
2021-01-09T00:00:00.000Z,4,17.77,8.27,6.65,10.65,2.789,283
2021-01-10T00:00:00.000Z,2.4,37.88,4.5,3.55,5.72,2.767,282
2021-01-11T00:00:00.000Z,3.72,29,5.7,4.9,9.51,3.262,257
2021-01-12T00:00:00.000Z,3.17,108.57,10.7,8.99,13.03,9.597,269
2021-01-13T00:00:00.000Z,3.6,83.32,16.92,10.45,22.45,10.443,226
2021-01-14T00:00:00.000Z,4.13,59.05,15.49,10.31,19.95,8.423,244
2021-01-15T00:00:00.000Z,2.67,35.13,6.28,4.21,8.36,9.312,264
2021-01-16T00:00:00.000Z,1.63,13.8,2.7,2.2,7.47,3.051,223
2021-01-17T00:00:00.000Z,5.13,40.92,10.55,9.03,14.5,8.025,241
2021-01-18T00:00:00.000Z,2.29,42.42,10.74,6.57,13.4,8.345,234
2021-01-19T00:00:00.000Z,3.92,28.17,13.4,8.93,17.01,5.94,201
2021-01-20T00:00:00.000Z,2.92,24.75,8.13,5.15,10.95,5.087,259
2021-01-21T00:00:00.000Z,3.58,118.3,6.07,5.09,7.2,8.926,239
2021-01-22T00:00:00.000Z,2.27,34.92,6.6,5.35,7.84,3.334,248
2021-01-23T00:00:00.000Z,1.7,55.97,4.23,3.5,5.14,4.204,248
2021-01-24T00:00:00.000Z,1.27,12.57,2.92,2.42,3.92,2.15,258
2021-01-25T00:00:00.000Z,1.45,45.9,4.59,3.4,6.1,4.613,231
